Year,SiteID,Location,operation,value,unit,note,,,,
2016,2,Nashua,tillage_field cultivate,4/3/2016,date,,,,,
2016,2,Nashua,plant_oats,4/4/2016,date,,,,,
2016,2,Nashua,planting_rate,4,bu_ac,,,,,
2016,2,Nashua,row_width,7.5,in,,,,,
2016,2,Nashua,%_heading,6/15/2016,date,,,,,
2016,2,Nashua,crown_rust,7/1/2016,date,"1=low, 9=high",,,,
2016,2,Nashua,stem_rust,7/1/2016,date,"1=low, 9=high",,,,
2016,2,Nashua,%_lodge,7/1/2016,date,,,,,
2016,2,Nashua,plant_ht_in,7/23/2016,date,,,,,
2016,2,Nashua,harvest_oats,7/23/2016,date,,,,,
2016,2,Nashua,harvest_straw,7/27/2016,date,,,,,
2016,3,Charles City,tillage_soil finisher,4/4/2016,date,,,,,
2016,3,Charles City,plant_oats,4/4/2016,date,,,,,
2016,3,Charles City,planting_rate,4,bu_ac,,,,,
2016,3,Charles City,row_width,7.5,in,,,,,
2016,3,Charles City,%_lodge,8/3/2016,date,,,,,
2016,3,Charles City,plant_ht_in,8/3/2016,date,,,,,
2016,3,Charles City,harvest_oats,8/3/2016,date,,,,,
2017,1,Kanawha,apply_fertilizer,11/3/2016,date,,,,,
2017,1,Kanawha,N_rate,26,lb_N_ac,,,,,
2017,1,Kanawha,P_rate,127,lb_P2O5_ac,,,,,
2017,1,Kanawha,apply_fertilizer,11/20/2016,date,,,,,
2017,1,Kanawha,K_rate,227,lb_K2O_ac,,,,,
2017,1,Kanawha,apply_fertilizer,11/12/2016,date,,,,,
2017,1,Kanawha,S_rate,34,lb_S_ac,,,,,
2017,1,Kanawha,tillage_soil finisher,4/9/2016,date,,,,,
2017,1,Kanawha,plant_oats,4/12/2016,date,,,,,
2017,1,Kanawha,planting_rate,4,bu_ac,,,,,
2017,1,Kanawha,row_width,7.5,in,,,,,
2017,1,Kanawha,%_lodge,8/8/2016,date,,,,,
2017,1,Kanawha,plant_ht_in,8/8/2016,date,,,,,
2017,1,Kanawha,harvest_oats,8/8/2016,date,,,,,
2017,2,Nashua,apply_fertilizer,11/1/2016,date,,,,,
2017,2,Nashua,N_rate,11,lb_N_ac,,,,,
2017,2,Nashua,P_rate,58,lb_P2O5_ac,,,,,
2017,2,Nashua,K_rate,135,lb_K2O_ac,,,,,
2017,2,Nashua,apply_fertilizer,3/22/2017,date,,,,,
2017,2,Nashua,N_rate,7,lb_N_ac,,,,,
2017,2,Nashua,K_rate,73,lb_K2O_ac,,,,,
2017,2,Nashua,tillage_field cultivate,3/23/2017,date,,,,,
2017,2,Nashua,tillage_field cultivate,4/6/2017,date,,,,,
2017,2,Nashua,plant_oats,4/7/2017,date,,,,,
2017,2,Nashua,planting_rate,4,bu_ac,,,,,
2017,2,Nashua,row_width,7.5,in,,,,,
2017,2,Nashua,tillage_cultipack,4/8/2017,date,,,,,
2017,2,Nashua,%_heading,6/15/2017,date,,,,,
2017,2,Nashua,crown_rust,6/30/2017,date,"1=low, 9=high",,,,
2017,2,Nashua,stem_rust,6/30/2017,date,"1=low, 9=high",,,,
2017,2,Nashua,BYDV,6/30/2017,date,"1=low, 9=high",,,,
2017,2,Nashua,septoria_leaf_blight,6/30/2017,date,"1=low, 9=high",,,,
2017,2,Nashua,%_lodge,7/31/2017,date,,,,,
2017,2,Nashua,plant_ht_in,7/20/2017,date,,,,,
2017,2,Nashua,harvest_oats,7/31/2017,date,,,,,
2017,2,Nashua,harvest_straw,8/1/2017,date,,,,,
2017,3,Charles City,tillage_soil finisher,4/9/2017,date,,,,,
2017,3,Charles City,plant_oats,4/10/2017,date,,,,,
2017,3,Charles City,planting_rate,4,bu_ac,,,,,
2017,3,Charles City,row_width,7.5,in,,,,,
2017,3,Charles City,%_lodge,8/11/2017,date,,,,,
2017,3,Charles City,plant_ht_in,8/11/2017,date,,,,,
2017,3,Charles City,harvest_oats,8/11/2017,date,,,,,
2018,1,Kanawha,tillage_soil finisher,4/30/2018,date,,,,,
2018,1,Kanawha,plant_oats,4/30/2018,date,,,,,
2018,1,Kanawha,planting_rate,4,bu_ac,,,,,
2018,1,Kanawha,row_width,7.5,in,,,,,
2018,1,Kanawha,%_lodge,8/14/2018,date,,,,,
2018,1,Kanawha,plant_ht_in,8/14/2018,date,,,,,
2018,1,Kanawha,harvest_oats,8/14/2018,date,,,,,
2018,2,Nashua,apply_fertilizer,11/10/2017,date,,,,,
2018,2,Nashua,P_rate,65,lb_P2O5_ac,,,,,
2018,2,Nashua,K_rate,150,lb_K2O_ac,,,,,
2018,2,Nashua,apply_fertilizer,3/22/2018,date,,,,,
2018,2,Nashua,N_rate,16,lb_N_ac,,,,,
2018,2,Nashua,P_rate,16,lb_P2O5_ac,,,,,
2018,2,Nashua,K_rate,70,lb_K2O_ac,,,,,
2018,2,Nashua,tillage_field cultivate,4/24/2018,date,,,,,
2018,2,Nashua,tillage_field cultivate,4/25/2018,date,,,,,
2018,2,Nashua,plant_oats,4/25/2018,date,,,,,
2018,2,Nashua,planting_rate,4,bu_ac,,,,,
2018,2,Nashua,row_width,7.5,in,,,,,
2018,2,Nashua,tillage_cultipack,4/30/2018,date,,,,,
2018,2,Nashua,%_heading,6/18/2018,date,,,,,
2018,2,Nashua,crown_rust,6/28/2018,date,"1=low, 9=high",,,,
2018,2,Nashua,stem_rust,6/28/2018,date,"1=low, 9=high",,,,
2018,2,Nashua,BYDV,6/28/2018,date,"1=low, 9=high",,,,
2018,2,Nashua,septoria_leaf_blight,6/28/2018,date,"1=low, 9=high",,,,
2018,2,Nashua,%_lodge,7/24/2018,date,,,,,
2018,2,Nashua,plant_ht_in,7/24/2018,date,,,,,
2018,2,Nashua,harvest_oats,7/24/2018,date,,,,,
2018,2,Nashua,harvest_straw,7/25/2018,date,,,,,
2018,3,Charles City,tillage_field cultivate,4/28/2018,date,,,,,
2018,3,Charles City,plant_oats,4/29/2018,date,,,,,
2018,3,Charles City,planting_rate,4,bu_ac,,,,,
2018,3,Charles City,row_width,7.5,in,,,,,
2018,3,Charles City,%_lodge,8/15/2018,date,,,,,
2018,3,Charles City,plant_ht_in,8/15/2018,date,,,,,
2018,3,Charles City,harvest_oats,8/15/2018,date,,,,,
2018,4,Boone,tillage_field cultivate,4/25/2018,date,,,,,
2018,4,Boone,plant_oats,4/25/2018,date,,,,,
2018,4,Boone,planting_rate,4,bu_ac,,,,,
2018,4,Boone,row_width,7.5,in,,,,,
2018,4,Boone,%_lodge,8/13/2018,date,,,,,
2018,4,Boone,plant_ht_in,8/13/2018,date,,,,,
2018,4,Boone,harvest_oats,8/13/2018,date,,,,,
